Farm ID,ISO,Latitude,Longitude,Insights,Recent Date
77,GB,51.59482408,-1.33579,Re-grouped_20260316_30,4
78,GB,52.634687,0.67583,Re-grouped_20260316_79,3
80,GB,52.85998728,-0.69613,Re-grouped_20260316_57,4
115,GB,52.65285846,-0.60021,Re-grouped_20260316_62,3
81,GB,51.115562,-1.59163,Re-grouped_20260316_21,2
82,GB,52.71176597,0.29513,Re-grouped_20260316_86,2
83,GB,54.234835,-1.45622,Re-grouped_20260316_47,2
84,GB,54.188484,-1.38572,Re-grouped_20260316_47,4
85,GB,52.508049,-0.47426,Re-grouped_20260316_64,5
86,GB,52.800564,-0.45397,Re-grouped_20260316_61,4
87,GB,54.110783,-1.40533,Re-grouped_20260316_48,3
88,GB,52.90439,-0.69678,Re-grouped_20260316_56,3
89,GB,52.712066,-0.13397,Re-grouped_20260316_63,3
90,GB,53.02285,-0.08036,Re-grouped_20260316_60,4
91,GB,52.57548542,-0.01904,Re-grouped_20260316_88,1
92,GB,52.298607,-0.76404,Re-grouped_20260316_66,2
95,GB,52.96356,-0.23527,Re-grouped_20260319_6,3
96,GB,54.18885088,-1.50967,Re-grouped_20260316_47,3
109,GB,52.65347616,-0.23809,Re-grouped_20260316_63,1
39,GB,52.47211,-0.27302,Re-grouped_20260316_64,3
100,GB,52.986988,-0.42815,Re-grouped_20260316_58,4
101,GB,52.21604785,-0.77326,Re-grouped_20260316_66,1
16,GB,52.18932199,-0.50401,Re-grouped_20260316_67,1
13,GB,52.91210998,1.01672,Re-grouped_20260316_72,8
104,GB,53.98644,-0.56612,Re-grouped_20260316_53,3
105,GB,54.05675,-0.50896,Re-grouped_20260316_53,3
106,GB,52.4994,0.20709,Re-grouped_20260316_85,1
107,GB,53.9382,-0.91613,Re-grouped_20260316_54,3
108,GB,54.065609,-1.22960,Re-grouped_20260316_48,3
98,GB,52.29147,0.98803,Re-grouped_20260316_75,4
110,GB,52.6300942,0.50292,Re-grouped_20260316_80,0
112,GB,54.20107039,-0.93393,Re-grouped_20260316_52,1
113,GB,51.0791126,-1.62165,Re-grouped_20260316_21,3
114,GB,52.749732,1.55929,Re-grouped_20260316_70,1
134,GB,52.35677,1.06333,Re-grouped_20260316_75,
73,GB,52.19239,0.91730,Re-grouped_20260316_76,4
67,GB,52.5940631,1.01636,Re-grouped_20260316_77,4
118,GB,54.186775,-1.44261,Re-grouped_20260316_47,3
119,GB,52.2085,-0.05433,Re-grouped_20260316_91,2
120,GB,50.212806,-4.96998,Re-grouped_20260316_2,4
121,GB,51.964402,-2.59969,Re-grouped_20260316_37,2
122,GB,51.380629,-1.53780,Re-grouped_20260316_27,0
123,GB,51.15847,-1.58232,Re-grouped_20260316_21,3
124,GB,52.49333,-0.34846,Re-grouped_20260316_64,2
79,GB,52.64797,1.11477,Re-grouped_20260316_77,5
126,GB,50.556548,-4.85542,Re-grouped_20260316_3,4
127,GB,53.92705,-1.38481,Re-grouped_20260316_50,2
128,GB,52.009689,-1.91656,Re-grouped_20260316_36,2
129,GB,52.418109,-0.06624,Re-grouped_20260316_89,3
130,GB,52.259768,-0.17068,Re-grouped_20260319_2,2
131,GB,52.63077807,0.91893,Re-grouped_20260316_77,3
65,GB,52.547469,0.98481,Re-grouped_20260316_78,4
66,GB,52.52411859,1.01088,Re-grouped_20260316_78,3
132,GB,52.53294907,1.05772,Re-grouped_20260316_78,4
135,GB,52.67987159,1.44297,Re-grouped_20260316_71,1
136,GB,52.757702,0.80220,Re-grouped_20260316_69,3
137,GB,52.436244,-0.05267,Re-grouped_20260316_89,2
138,GB,52.433282,0.44402,Re-grouped_20260316_82,3
139,GB,52.617736,0.91099,Re-grouped_20260316_77,3
201,GB,52.53138,1.00984,Re-grouped_20260316_78,3
117,GB,52.60064,0.28689,Re-grouped_20260316_81,2
142,GB,52.768446,-2.51346,Re-grouped_20260316_41,
15,GB,52.78405,0.29418,Re-grouped_20260316_86,2
144,GB,50.91353072,-1.97210,Re-grouped_20260316_20,1
145,GB,55.64539394,-2.49627,Re-grouped_20260316_43,3
146,GB,52.359511,0.13821,Re-grouped_20260316_90,2
147,GB,55.78505,-2.09338,Re-grouped_20260316_45,4
148,GB,52.11445,-2.87111,Re-grouped_20260316_38,3
116,GB,52.212658,-0.00334,Re-grouped_20260316_91,2
150,GB,53.991668,-1.23936,Re-grouped_20260316_50,2
151,GB,52.532189,0.38679,Re-grouped_20260316_82,4
141,GB,52.222985,0.00149,Re-grouped_20260316_91,1
153,GB,53.8957,-0.45620,Re-grouped_20260316_54,2
154,GB,51.14416,-2.22055,Re-grouped_20260316_24,2
155,GB,52.747192,-0.18682,Re-grouped_20260316_63,5
156,GB,54.27788,-1.40671,Re-grouped_20260316_47,3
157,GB,55.75915,-2.38607,Re-grouped_20260316_46,3
158,GB,51.48981,-1.19577,Re-grouped_20260316_29,3
159,GB,52.26252981,1.21449,Re-grouped_20260316_74,0
161,GB,52.35187,-0.14745,Re-grouped_20260319_3,3
166,GB,52.5333,1.15905,Re-grouped_20260319_1,5
167,GB,54.02573048,-1.15842,Re-grouped_20260316_49,2
169,GB,51.719297,-1.84516,Re-grouped_20260319_9,2
102,GB,52.1782076,-0.18001,Re-grouped_20260319_2,
174,GB,52.77745,-2.44322,Re-grouped_20260316_41,0
175,GB,52.69113,-0.53987,Re-grouped_20260316_62,7
176,GB,52.44202,-0.33574,Re-grouped_20260316_64,7
177,GB,52.64917,0.41815,Re-grouped_20260316_81,6
178,GB,52.46433,-0.19506,Re-grouped_20260319_4,6
179,GB,52.41004,-0.07393,Re-grouped_20260316_89,6
180,GB,52.41916,0.14125,Re-grouped_20260316_90,6
181,GB,51.16548,-1.13218,Re-grouped_20260316_26,6
182,GB,51.09097,-1.56345,Re-grouped_20260316_21,6
125,GB,52.24559,-0.20493,Re-grouped_20260319_2,1
197,GB,52.829002,0.80951,Re-grouped_20260316_69,2
199,GB,52.67474,0.82744,Re-grouped_20260316_79,2
171,GB,53.22234,-0.33442,Re-grouped_20260319_7,3
220,FR,43.78533,1.77272,UPL - NATOLY Group,0
221,FR,43.77994,1.77605,UPL - NATOLY Group,0
222,FR,43.79011,1.74227,UPL - NATOLY Group,0
274,CA,43.41766,-81.17011,CA_group_1,0
275,CA,43.49604,-81.26933,CA_group_1,0
276,CA,43.41205,-81.25182,CA_group_1,4
277,US,47.8568,-111.85282,US_planet_group_2,
278,US,48.01983,-111.90700,US_planet_group_1,
280,US,47.90805,-111.75339,US_planet_group_3,
281,US,47.83974,-111.90496,US_planet_group_2,
282,US,47.88753,-112.01064,US_planet_group_2,
283,US,47.98066,-112.07218,US_planet_group_1,
